UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,Employee_code_ID,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,NO.OF_INQUIRIES,loan_default,riskcat
509829,56759,72867,78.91,67,17831,86,1515,3/4/1987,Self employed,16/9/2018,6,2291,1,1,0,0,0,0,549,J-High Risk,1,1,0,46882,0,0,0,0,High Risk
470917,52978,68157,79.23,135,14791,51,1701,7/12/1994,Salaried,28/8/2018,4,1946,1,1,1,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,64000,64000,64000,1,1,Not Scored
418227,43394,70989,63.39,120,20512,45,6930,1/1/1990,Self employed,1/8/2018,12,184,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
500964,53003,66120,81.97,67,16565,45,1513,9/7/1994,Salaried,12/9/2018,6,614,1,1,0,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,Low Risk
477175,44349,68638,67.02,11,23950,45,5993,1/1/1978,Self employed,30/8/2018,3,2807,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
618825,97998,178921,55.89,2,23051,67,1734,14/6/1982,Salaried,25/10/2018,4,2503,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
466962,55209,63598,88.76,19,15685,86,1862,3/1/1997,Self employed,27/8/2018,4,819,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,1,1,No History
420472,27929,43886,68.36,120,23452,48,6924,1/1/1979,Self employed,3/8/2018,12,184,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
492181,42874,62852,70.01,78,17014,45,2063,2/5/1984,Salaried,6/9/2018,4,174,1,1,0,0,0,0,527,J-High Risk,1,0,0,0,0,0,0,0,High Risk
606774,30473,80270,40.88,10,22023,45,5712,1/1/1992,Self employed,23/10/2018,3,429,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
561937,63532,77183,84.73,13,18486,86,4617,1/1/1970,Salaried,8/10/2018,8,2462,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,1,1,No History
562853,51153,66716,82.44,162,18077,86,1880,12/3/1966,Salaried,8/10/2018,4,1083,1,1,0,0,0,0,762,B-Very Low Risk,4,2,0,11995,16650,16650,0,0,Low Risk
495975,41510,67109,64.52,251,21282,45,6868,1/10/1987,Self employed,8/9/2018,13,620,1,0,0,1,0,0,615,H-Medium Risk,1,0,0,0,0,0,0,0,Medium Risk
428692,54259,66655,83.26,16,21980,86,3013,1/1/1983,Salaried,9/8/2018,14,1701,1,1,0,0,0,0,602,H-Medium Risk,6,1,0,29743,27700,27700,0,0,Medium Risk
454235,71623,97789,74.65,103,22728,51,6971,25/7/1996,Salaried,21/8/2018,7,1238,1,1,1,0,0,0,737,C-Very Low Risk,2,1,0,32111,45000,45000,0,0,Low Risk
589961,79079,140092,57.11,29,22594,49,5929,16/6/1996,Self employed,20/10/2018,3,472,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
439531,29080,69920,44.34,8,14823,45,5576,15/5/1984,Salaried,14/8/2018,3,2116,1,1,0,0,0,0,620,H-Medium Risk,2,2,0,449,55000,13504,0,0,Medium Risk
618294,55613,68969,82.65,67,22703,86,1446,6/6/1986,Self employed,25/10/2018,6,3510,1,1,0,1,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,Low Risk
627283,80686,110830,74.89,7,23091,51,5805,23/12/1996,Self employed,26/10/2018,3,3152,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
619362,65582,83500,79.88,29,23497,45,5361,13/7/1991,Self employed,25/10/2018,3,1522,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
537004,46049,67425,74.16,3,16277,45,602,10/2/1987,Salaried,26/9/2018,15,3340,1,1,0,0,0,0,300,M-Very High Risk,2,2,2,34553,63300,63300,0,0,High Risk
419165,49803,64012,83.42,5,14145,86,3305,21/11/1994,Salaried,3/8/2018,9,326,1,0,0,0,1,0,728,D-Very Low Risk,7,5,0,736432,1449474,1428366,0,0,Low Risk
531419,49803,67879,75.87,152,15460,86,5135,2/1/1977,Self employed,24/9/2018,3,1442,1,1,0,0,0,0,749,C-Very Low Risk,2,1,0,282670,535000,535000,0,0,Low Risk
533328,48783,66052,77.21,202,23323,86,777,12/7/1985,Salaried,24/9/2018,18,1093,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
612230,53803,75500,72.85,135,22699,86,2378,20/3/1988,Self employed,24/10/2018,4,294,1,1,0,0,0,0,471,K-High Risk,3,2,1,727233,905366,905366,0,0,High Risk
558860,62947,81378,78.65,2,23277,120,2378,16/12/1966,Self employed,5/10/2018,4,1175,1,1,0,0,1,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
541362,49471,63000,85,74,16633,45,2616,17/7/1982,Salaried,27/9/2018,4,2404,1,0,1,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
515932,55959,72700,77.99,2,14698,45,1724,15/3/1956,Self employed,18/9/2018,4,2214,1,1,0,0,0,0,323,L-Very High Risk,9,5,3,5303866,6292887,6292887,1,0,High Risk
527788,85709,176743,50.36,120,22937,49,6934,14/11/1990,Self employed,22/9/2018,12,2724,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
611118,55400,73476,77.58,10,16292,45,5681,13/4/1992,Self employed,24/10/2018,3,686,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
615974,77700,105350,74.99,146,13988,48,3009,25/11/1994,Salaried,24/10/2018,14,517,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
444735,58309,66499,89.17,35,21557,86,4319,31/5/1985,Salaried,17/8/2018,8,789,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
499921,46249,69346,72.1,7,23332,45,5726,1/1/1990,Self employed,11/9/2018,3,1336,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
551422,49145,74500,67.11,152,14621,45,6039,8/6/1992,Self employed,30/9/2018,3,372,1,1,0,0,0,0,435,K-High Risk,1,1,0,349562,350000,350000,1,1,High Risk
592291,37239,48034,83.27,3,22329,51,51,1/1/1974,Self employed,20/10/2018,1,579,1,1,1,0,0,0,836,A-Very Low Risk,3,0,0,0,0,0,0,0,Low Risk
625621,48743,78355,66.36,159,23981,45,7209,8/5/1987,Self employed,26/10/2018,7,2874,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
474979,43582,62537,75.32,85,17142,45,2036,1/8/1975,Salaried,29/8/2018,4,2545,1,1,0,0,0,0,577,I-Medium Risk,2,2,1,98289,100000,100000,0,0,Medium Risk
550324,36505,48320,79.68,105,20292,48,1242,1/1/1988,Salaried,29/9/2018,6,2397,1,0,0,1,0,0,335,L-Very High Risk,1,1,1,84584,196000,196000,0,0,High Risk
522562,83533,113830,74.23,136,20495,48,3718,4/8/1995,,20/9/2018,8,1295,1,1,0,0,0,0,405,K-High Risk,3,1,1,215103,410000,410000,0,0,High Risk
646641,41210,87160,48.19,11,22664,51,5647,12/1/1982,Self employed,31/10/2018,3,1395,1,1,0,0,0,0,738,C-Very Low Risk,3,2,0,77524,80000,80000,1,0,Low Risk
630711,56259,67521,84.42,14,24001,86,820,15/11/1974,Self employed,27/10/2018,15,3518,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
559948,48300,55627,88.99,15,15733,86,293,24/10/1975,Self employed,6/10/2018,11,76,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
620197,57659,117611,50.17,63,17066,86,7083,5/5/1991,Salaried,25/10/2018,10,413,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
531287,48039,68000,71.6,2,23799,51,1615,2/12/1992,Salaried,24/9/2018,4,751,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
528442,57610,68648,85,67,18166,86,1446,1/6/1975,Salaried,22/9/2018,6,394,1,1,0,0,0,0,474,K-High Risk,5,3,1,26789,69861,69861,1,0,High Risk
590553,42394,75005,58.66,147,17223,86,2790,29/10/1974,Self employed,20/10/2018,2,523,1,1,0,0,0,0,774,B-Very Low Risk,5,1,0,1590,9550,9550,1,0,Low Risk
631495,63213,72821,87.89,3,22724,51,555,20/5/1997,Salaried,27/10/2018,15,1697,1,1,0,0,0,0,753,C-Very Low Risk,1,1,0,10137,23000,14994,0,0,Low Risk
579719,77751,111800,71.56,11,24292,48,6012,9/1/1994,Self employed,15/10/2018,3,3556,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
609343,72817,106000,69.81,78,17502,51,2095,1/1/1994,Salaried,24/10/2018,4,3386,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
464260,51105,67123,79,65,17272,45,6824,11/3/1979,Self employed,25/8/2018,13,1795,1,0,0,1,0,0,698,E-Low Risk,3,2,0,22928,35000,35000,0,0,Low Risk
489820,52003,63121,84.28,34,16556,86,986,19/4/1980,Self employed,4/9/2018,6,431,1,1,0,0,0,0,18,Not Scored: No Updates available in last 36 months,2,0,0,0,0,0,0,0,Not Scored
450566,38939,55770,71.72,64,22076,86,3548,5/1/1996,Salaried,20/8/2018,9,1591,1,1,0,0,0,0,639,G-Low Risk,2,2,0,166703,178000,178000,0,0,Low Risk
438441,51304,59545,89.01,63,16309,45,7086,21/1/1975,Salaried,14/8/2018,10,1397,1,1,0,0,0,0,679,F-Low Risk,7,5,0,251833,312743,312743,1,0,Low Risk
576065,67119,114285,60.33,1,21750,51,5094,5/3/1998,,13/10/2018,3,5,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
604886,55011,74252,76.43,254,23311,86,6742,16/5/1986,Salaried,23/10/2018,13,130,1,1,1,0,0,0,627,H-Medium Risk,3,1,0,25238,48000,47841,0,0,Medium Risk
498489,69817,98423,73.15,11,23152,51,5950,27/2/2000,,10/9/2018,3,2130,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
504736,38139,65825,60.77,3,22992,45,603,1/1/1986,Self employed,14/9/2018,15,311,1,1,0,0,0,0,718,D-Very Low Risk,3,1,0,7050,8461,8461,2,0,Low Risk
516598,59213,104402,58.43,104,23386,51,7133,23/10/1995,Self employed,19/9/2018,10,217,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,20340,20340,20340,2,0,Not Scored
629596,57214,79061,74.88,42,23639,51,5246,30/12/1986,Salaried,27/10/2018,3,1736,1,1,0,0,0,0,549,J-High Risk,5,3,1,403757,500000,500000,0,0,High Risk
602669,46349,64803,72.53,15,15733,86,298,1/1/1990,Self employed,22/10/2018,11,76,1,1,0,0,0,0,14,Not Scored: Only a Guarantor,1,1,0,335015,366432,366432,0,0,Not Scored
485418,46299,60150,83.13,101,20972,45,689,1/7/1967,Self employed,31/8/2018,15,3268,1,1,0,0,0,0,596,I-Medium Risk,2,1,1,10000,25000,25000,0,0,Medium Risk
468612,39394,56361,72.75,3,21413,51,34,31/12/1991,Self employed,28/8/2018,1,2144,1,1,0,0,0,0,680,F-Low Risk,4,2,0,82078,91990,91990,1,0,Low Risk
540045,45349,58275,78.94,146,21344,51,2967,25/5/1982,Self employed,26/9/2018,14,2591,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
584831,52503,79988,66.89,35,15366,120,4355,4/4/1961,Self employed,17/10/2018,8,3282,1,1,0,0,0,0,404,K-High Risk,22,7,3,14319601,14533000,14533000,1,0,High Risk
509861,46605,64858,74.01,18,22601,48,2702,20/11/1990,Self employed,16/9/2018,4,1077,1,1,0,0,0,0,709,D-Very Low Risk,4,1,0,834954,906472,906472,0,0,Low Risk
503448,70500,89566,80.95,13,15884,86,4606,10/6/1987,Self employed,13/9/2018,8,1198,1,1,0,0,0,0,672,F-Low Risk,12,7,0,534860,532464,532464,0,0,Low Risk
595123,50878,64931,81.01,62,18153,86,463,1/1/1981,Salaried,21/10/2018,11,1248,1,1,0,0,0,0,738,C-Very Low Risk,4,3,0,153536,231238,231238,0,0,Low Risk
488689,58113,71793,84.27,5,15663,86,3307,13/9/1994,Salaried,4/9/2018,9,1032,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
553943,42044,77062,55.35,36,21880,45,6635,1/1/1995,Self employed,30/9/2018,13,368,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
587904,51303,65650,79.21,14,24202,51,845,1/1/1988,Self employed,19/10/2018,15,2522,1,1,0,0,0,0,825,A-Very Low Risk,3,0,0,0,0,0,0,0,Low Risk
555947,69900,94551,74.99,35,16431,48,4316,8/4/1997,,3/10/2018,8,2311,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
619823,49822,63380,83.31,105,20333,45,1197,30/3/1998,,25/10/2018,6,1377,1,1,0,0,0,0,741,C-Very Low Risk,4,3,0,59655,117980,117980,0,0,Low Risk
649422,42539,65925,69.78,3,16277,45,571,7/8/1987,Self employed,31/10/2018,15,1086,1,1,0,0,0,0,774,B-Very Low Risk,2,1,0,104923,435525,435525,0,1,Low Risk
602997,83433,145419,58.38,162,22748,49,1869,13/11/1996,Salaried,23/10/2018,4,524,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,1,0,No History
428883,59413,97500,62.05,2,23328,86,1628,7/3/1988,Salaried,9/8/2018,4,1159,1,1,0,0,0,0,690,E-Low Risk,1,1,0,1009,2530,2530,0,0,Low Risk
587482,51303,80210,66.08,42,23232,86,5247,11/1/1992,Self employed,19/10/2018,3,215,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,15490,15490,15490,0,0,Not Scored
646784,53394,67519,82.94,63,18050,86,7085,1/1/1972,Self employed,31/10/2018,10,1284,1,1,0,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,Low Risk
490648,56559,72300,80.64,135,15680,45,1794,1/7/1993,Salaried,5/9/2018,4,2179,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
577595,43394,58792,74.84,136,24224,51,3756,12/1/1983,Salaried,14/10/2018,8,2851,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
528182,57159,65148,89.8,67,16624,86,1510,20/9/1994,Salaried,22/9/2018,6,3391,1,1,0,0,0,0,795,B-Very Low Risk,4,0,0,0,0,0,0,0,Low Risk
639508,64816,105340,64.84,29,23946,48,5915,13/7/1965,Self employed,30/10/2018,3,1733,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
622120,44094,72486,62.08,147,17551,86,2797,22/12/1988,Self employed,25/10/2018,2,522,1,1,0,0,0,0,463,K-High Risk,10,7,1,1152716,1420953,1408014,0,0,High Risk
615216,52378,67320,79.92,10,18471,48,5702,12/2/1996,Self employed,24/10/2018,3,1831,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
494337,90555,135892,68.44,29,23939,49,5895,2/2/1985,Self employed,7/9/2018,3,2082,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
556784,61447,78263,79.86,2,22769,51,1689,11/9/1965,Self employed,4/10/2018,4,536,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
500204,62547,77150,83.73,202,24357,86,776,1/1/1990,Self employed,11/9/2018,18,1463,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
643584,50078,77235,66.03,152,20620,86,6120,1/1/1988,Salaried,30/10/2018,3,766,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
639329,51188,67198,81.1,162,18077,86,1836,1/7/1972,Salaried,30/10/2018,4,1319,1,1,0,0,0,0,635,G-Low Risk,2,1,0,0,130000,1655,0,0,Low Risk
494992,73516,83600,89.71,135,20676,86,1800,15/3/1972,Salaried,7/9/2018,4,1754,1,1,0,0,0,0,643,G-Low Risk,14,2,1,2800,50900,50900,8,0,Low Risk
575273,44349,121500,37.86,11,13913,48,5939,1/1/1970,Self employed,13/10/2018,3,2154,1,1,0,0,0,0,626,H-Medium Risk,1,0,0,0,0,0,0,0,Medium Risk
505268,44345,63688,72.54,36,24043,49,6572,1/1/1987,Salaried,14/9/2018,13,2091,1,0,0,1,0,0,738,C-Very Low Risk,1,1,0,30885,50000,50000,0,1,Low Risk
594321,52818,63896,88.42,78,17014,45,2071,1/1/1983,Salaried,21/10/2018,4,1646,1,1,0,0,0,0,575,I-Medium Risk,1,0,1,0,0,0,0,1,Medium Risk
557646,57513,74468,79.23,42,15888,86,5236,17/1/1969,Self employed,4/10/2018,3,2680,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
587680,49803,71300,71.53,79,20996,45,766,1/1/1997,Salaried,19/10/2018,18,2287,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
551062,45149,64176,71.99,18,22832,45,2698,26/6/1978,Self employed,30/9/2018,4,1445,1,1,0,0,0,0,749,C-Very Low Risk,1,1,0,91857,245573,245573,0,0,Low Risk
559484,63719,76182,85.72,13,18486,86,4659,15/5/1978,Salaried,6/10/2018,8,730,1,1,0,0,1,0,16,Not Scored: No Activity seen on the customer (Inactive),1,0,0,0,0,0,0,1,Not Scored
552638,57009,66000,87.88,15,15733,86,293,15/8/1967,Self employed,30/9/2018,11,1253,1,1,0,0,0,0,775,B-Very Low Risk,20,12,0,2812194,6541389,6390333,1,0,Low Risk
589085,43994,78564,57.28,18,14234,86,2730,26/9/1974,Salaried,19/10/2018,4,1013,1,1,0,0,0,0,731,D-Very Low Risk,1,1,0,0,100000,100000,0,0,Low Risk
586108,74751,101600,74.8,97,20321,51,1142,6/8/1994,Self employed,18/10/2018,6,2732,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
453229,68169,85554,81.82,19,22857,86,1814,16/6/1992,Salaried,21/8/2018,4,516,1,1,0,0,0,0,740,C-Very Low Risk,5,1,0,25450,27682,27682,0,0,Low Risk
497682,62463,75727,84.51,5,17980,86,3363,1/1/1970,Self employed,10/9/2018,9,3263,1,1,0,0,0,0,825,A-Very Low Risk,3,1,0,17832,35000,35000,0,0,Low Risk
485579,69817,85656,84.06,146,15359,86,3016,18/2/1980,Self employed,31/8/2018,14,2919,1,1,1,0,0,0,16,Not Scored: No Activity seen on the customer (Inactive),3,1,0,0,1180,1180,0,0,Not Scored
439043,67069,93596,73.72,146,13988,48,2944,17/3/1984,Salaried,14/8/2018,14,400,1,1,0,0,0,0,836,A-Very Low Risk,1,0,0,0,0,0,1,0,Low Risk
633719,70948,119464,60.96,85,17139,86,1936,25/1/1995,Salaried,28/10/2018,4,272,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
454796,66282,85058,79.95,18,14234,86,2700,3/1/1987,Self employed,22/8/2018,4,2389,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
640880,53003,67353,80.17,138,14178,86,3353,1/1/1982,Salaried,30/10/2018,9,327,1,1,0,0,0,0,738,C-Very Low Risk,2,1,0,22003,26000,26000,0,0,Low Risk
